Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\PILLBOX_PREBUNCHER\PILLBOX.T35.
Memory used for PILLBOX.T35 arrays:       2.970 M
Reading keyword commands and data from file:
C:\LANL\LINAC\PILLBOX_PREBUNCHER\PILLBOX.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (106.1760557423,11)
Z and R increments:   200    22

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.249947E-02  0.000000E+00  1.249947E-02  0.000000E+00
  0.530880       0.00000      1.256455E-02  0.000000E+00  1.256455E-02  0.000000E+00
   1.06176       0.00000      1.275983E-02  0.000000E+00  1.275983E-02  0.000000E+00
   1.59264       0.00000      1.308540E-02  0.000000E+00  1.308540E-02  0.000000E+00
   2.12352       0.00000      1.354592E-02  0.000000E+00  1.354592E-02  0.000000E+00
   2.65440       0.00000      1.414475E-02  0.000000E+00  1.414475E-02  0.000000E+00
   3.18528       0.00000      1.489044E-02  0.000000E+00  1.489044E-02  0.000000E+00
   3.71616       0.00000      1.578957E-02  0.000000E+00  1.578957E-02  0.000000E+00
   4.24704       0.00000      1.685135E-02  0.000000E+00  1.685135E-02  0.000000E+00
   4.77792       0.00000      1.808397E-02  0.000000E+00  1.808397E-02  0.000000E+00
   5.30880       0.00000      1.950497E-02  0.000000E+00  1.950497E-02  0.000000E+00
   5.83968       0.00000      2.112652E-02  0.000000E+00  2.112652E-02  0.000000E+00
   6.37056       0.00000      2.296516E-02  0.000000E+00  2.296516E-02  0.000000E+00
   6.90144       0.00000      2.503965E-02  0.000000E+00  2.503965E-02  0.000000E+00
   7.43232       0.00000      2.736597E-02  0.000000E+00  2.736597E-02  0.000000E+00
   7.96320       0.00000      2.997704E-02  0.000000E+00  2.997704E-02  0.000000E+00
   8.49408       0.00000      3.289483E-02  0.000000E+00  3.289483E-02  0.000000E+00
   9.02496       0.00000      3.614875E-02  0.000000E+00  3.614875E-02  0.000000E+00
   9.55585       0.00000      3.976382E-02  0.000000E+00  3.976382E-02  0.000000E+00
   10.0867       0.00000      4.379042E-02  0.000000E+00  4.379042E-02  0.000000E+00
   10.6176       0.00000      4.826170E-02  0.000000E+00  4.826170E-02  0.000000E+00
   11.1485       0.00000      5.322192E-02  0.000000E+00  5.322192E-02  0.000000E+00
   11.6794       0.00000      5.870857E-02  0.000000E+00  5.870857E-02  0.000000E+00
   12.2102       0.00000      6.479625E-02  0.000000E+00  6.479625E-02  0.000000E+00
   12.7411       0.00000      7.153345E-02  0.000000E+00  7.153345E-02  0.000000E+00
   13.2720       0.00000      7.898459E-02  0.000000E+00  7.898459E-02  0.000000E+00
   13.8029       0.00000      8.722011E-02  0.000000E+00  8.722011E-02  0.000000E+00
   14.3338       0.00000      9.629889E-02  0.000000E+00  9.629889E-02  0.000000E+00
   14.8646       0.00000      1.063375E-01  0.000000E+00  1.063375E-01  0.000000E+00
   15.3955       0.00000      1.174101E-01  0.000000E+00  1.174101E-01  0.000000E+00
   15.9264       0.00000      1.296143E-01  0.000000E+00  1.296143E-01  0.000000E+00
   16.4573       0.00000      1.430310E-01  0.000000E+00  1.430310E-01  0.000000E+00
   16.9882       0.00000      1.578174E-01  0.000000E+00  1.578174E-01  0.000000E+00
   17.5190       0.00000      1.740702E-01  0.000000E+00  1.740702E-01  0.000000E+00
   18.0499       0.00000      1.919154E-01  0.000000E+00  1.919154E-01  0.000000E+00
   18.5808       0.00000      2.114554E-01  0.000000E+00  2.114554E-01  0.000000E+00
   19.1117       0.00000      2.328834E-01  0.000000E+00  2.328834E-01  0.000000E+00
   19.6426       0.00000      2.563107E-01  0.000000E+00  2.563107E-01  0.000000E+00
   20.1735       0.00000      2.818787E-01  0.000000E+00  2.818787E-01  0.000000E+00
   20.7043       0.00000      3.097273E-01  0.000000E+00  3.097273E-01  0.000000E+00
   21.2352       0.00000      3.399632E-01  0.000000E+00  3.399632E-01  0.000000E+00
   21.7661       0.00000      3.727716E-01  0.000000E+00  3.727716E-01  0.000000E+00
   22.2970       0.00000      4.082363E-01  0.000000E+00  4.082363E-01  0.000000E+00
   22.8279       0.00000      4.464527E-01  0.000000E+00  4.464527E-01  0.000000E+00
   23.3587       0.00000      4.874787E-01  0.000000E+00  4.874787E-01  0.000000E+00
   23.8896       0.00000      5.313865E-01  0.000000E+00  5.313865E-01  0.000000E+00
   24.4205       0.00000      5.781593E-01  0.000000E+00  5.781593E-01  0.000000E+00
   24.9514       0.00000      6.277548E-01  0.000000E+00  6.277548E-01  0.000000E+00
   25.4823       0.00000      6.801012E-01  0.000000E+00  6.801012E-01  0.000000E+00
   26.0131       0.00000      7.350228E-01  0.000000E+00  7.350228E-01  0.000000E+00
   26.5440       0.00000      7.923244E-01  0.000000E+00  7.923244E-01  0.000000E+00
   27.0749       0.00000      8.517422E-01  0.000000E+00  8.517422E-01  0.000000E+00
   27.6058       0.00000      9.129554E-01  0.000000E+00  9.129554E-01  0.000000E+00
   28.1367       0.00000      9.756587E-01  0.000000E+00  9.756587E-01  0.000000E+00
   28.6675       0.00000      1.039312E+00  0.000000E+00  1.039312E+00  0.000000E+00
   29.1984       0.00000      1.103524E+00  0.000000E+00  1.103524E+00  0.000000E+00
   29.7293       0.00000      1.167825E+00  0.000000E+00  1.167825E+00  0.000000E+00
   30.2602       0.00000      1.231812E+00  0.000000E+00  1.231812E+00  0.000000E+00
   30.7911       0.00000      1.294882E+00  0.000000E+00  1.294882E+00  0.000000E+00
   31.3219       0.00000      1.356668E+00  0.000000E+00  1.356668E+00  0.000000E+00
   31.8528       0.00000      1.416773E+00  0.000000E+00  1.416773E+00  0.000000E+00
   32.3837       0.00000      1.474880E+00  0.000000E+00  1.474880E+00  0.000000E+00
   32.9146       0.00000      1.530615E+00  0.000000E+00  1.530615E+00  0.000000E+00
   33.4455       0.00000      1.583792E+00  0.000000E+00  1.583792E+00  0.000000E+00
   33.9763       0.00000      1.634241E+00  0.000000E+00  1.634241E+00  0.000000E+00
   34.5072       0.00000      1.681850E+00  0.000000E+00  1.681850E+00  0.000000E+00
   35.0381       0.00000      1.726549E+00  0.000000E+00  1.726549E+00  0.000000E+00
   35.5690       0.00000      1.768353E+00  0.000000E+00  1.768353E+00  0.000000E+00
   36.0999       0.00000      1.807293E+00  0.000000E+00  1.807293E+00  0.000000E+00
   36.6307       0.00000      1.843440E+00  0.000000E+00  1.843440E+00  0.000000E+00
   37.1616       0.00000      1.876862E+00  0.000000E+00  1.876862E+00  0.000000E+00
